Date,Original Date,Account Type,Account Name,Account Number,Institution Name,Name,Amount,Description,Category,Note
2021-04-27,2021-04-27,Cash,RIVER CHECKING,4821,Northline Bank,Meadow Works Group,0.76,MEADOW WORKS GROUP Ridge Valley CT                    04/27,Education,
2021-04-28,2021-04-28,Cash,RIVER CHECKING,4821,Northline Bank,Ember Harbor Care,44.39,EMBER HARBOR CARE Ivy Terrace UT                    04/28,Health & Wellness,
2021-04-28,2021-04-28,Cash,RIVER CHECKING,4821,Northline Bank,Quiet Commons Bistro,7.16,QUIET COMMONS BISTRO York Bay TX        04/28,Dining & Drinks,
2021-04-28,2021-04-28,Cash,RIVER CHECKING,4821,Northline Bank,Coral Deli Travel,3.96,CORAL DELI TRAVEL Juniper Springs CT        04/28,Travel & Vacation,
2021-04-28,2021-04-28,Cash,RIVER CHECKING,4821,Northline Bank,Copper Depot Bistro,23.08,COPPER DEPOT BISTRO Meadow Bay MA        04/28,Dining & Drinks,
2021-04-28,2021-04-28,Cash,RIVER CHECKING,4821,Northline Bank,RideFox,4.88,RIDEFOX TRIP HELP.ridefox.com CA                 04/28,Auto & Transport,
2021-04-28,2021-04-28,Cash,RIVER CHECKING,4821,Northline Bank,CabKey,26.72,CABKEY Summit Landing NY                    04/28,Auto & Transport,
2021-04-29,2021-04-29,Cash,RIVER CHECKING,4821,Northline Bank,Indigo Nest Collective,94.75,INDIGO NEST COLLECTIVE Kings Park MA        04/29,Internal Transfers,
2021-04-29,2021-04-29,Cash,RIVER CHECKING,4821,Northline Bank,Quartz Nest Air,248.11,QUARTZ NEST AIR Fairview Heights WA        04/29,Travel & Vacation,
2021-04-30,2021-04-30,Cash,RIVER CHECKING,4821,Northline Bank,Frost Express Jet,210.4,FROST EXPRESS JET Union Terrace MA        04/30,Travel & Vacation,
2021-04-30,2021-04-30,Cash,RIVER CHECKING,4821,Northline Bank,PeerPay,10.55,PEERPAY PAYMENT    2679699305192   WEB ID: 1367092456,Uncategorized,
2021-05-03,2021-05-03,Cash,RIVER CHECKING,4821,Northline Bank,Ocean Grill Kitchen,27.49,OCEAN GRILL KITCHEN Elm Harbor NY        05/03,Dining & Drinks,
2021-05-03,2021-05-03,Cash,RIVER CHECKING,4821,Northline Bank,Amber Pulse Kitchen,10.28,AMBER PULSE KITCHEN Zephyr Point NJ        05/03,Dining & Drinks,
2021-05-03,2021-05-03,Cash,RIVER CHECKING,4821,Northline Bank,Harbor Peak Table,6.95,HARBOR PEAK TABLE Summit Ridge NY        05/03,Dining & Drinks,
2021-05-03,2021-05-03,Cash,RIVER CHECKING,4821,Northline Bank,PeerPay,-43.09,PEERPAY CASHOUT                    PPD ID: 4914631927,Uncategorized,
2021-05-03,2021-05-03,Cash,RIVER CHECKING,4821,Northline Bank,SwiftRide,38.87,SWIFTRIDE TRIP HELP.swiftride.com CA                 05/03,Auto & Transport,
2021-05-03,2021-05-03,Cash,RIVER CHECKING,4821,Northline Bank,RideFox,93.02,RIDEFOX TRIP HELP.ridefox.com CA                 05/03,Auto & Transport,
2021-05-05,2021-05-05,Cash,RIVER CHECKING,4821,Northline Bank,Ember Lounge Pay,2.49,EMBER LOUNGE PAY 05/05,Fees,
2021-05-05,2021-05-05,Cash,RIVER CHECKING,4821,Northline Bank,Online Transfer from BIZ ...8988 transaction#: 90484155054,58.84,ONLINE TRANSFER FROM BIZ ...8988 TRANSACTION#: 90484155054 05/05,Cash & Checks,
2021-05-05,2021-05-05,Cash,RIVER CHECKING,4821,Northline Bank,PeerPay,18.07,PEERPAY PAYMENT    7405977042954   WEB ID: 7475771914,Uncategorized,
2021-05-06,2021-05-06,Cash,RIVER CHECKING,4821,Northline Bank,Velvet Root Table,17.19,VELVET ROOT TABLE Elm Bay WA        05/06,Dining & Drinks,
2021-05-06,2021-05-06,Cash,RIVER CHECKING,4821,Northline Bank,Cedar Cafe Exchange,0.76,CEDAR CAFE EXCHANGE Pine Point PA                    05/06,Education,
2021-05-06,2021-05-06,Cash,RIVER CHECKING,4821,Northline Bank,Cedar Cafe Exchange,0.75,CEDAR CAFE EXCHANGE Zephyr Park CT                    05/06,Education,
2021-05-06,2021-05-06,Cash,RIVER CHECKING,4821,Northline Bank,Cedar Cafe Exchange,0.74,CEDAR CAFE EXCHANGE Arbor Falls MA                    05/06,Education,
2021-05-06,2021-05-06,Cash,RIVER CHECKING,4821,Northline Bank,Cedar Cafe Exchange,1.03,CEDAR CAFE EXCHANGE Brighton Springs NY                    05/06,Education,
2021-05-06,2021-05-06,Cash,RIVER CHECKING,4821,Northline Bank,Cedar Cafe Exchange,0.95,CEDAR CAFE EXCHANGE Elm Junction MA                    05/06,Education,
2021-05-06,2021-05-06,Cash,RIVER CHECKING,4821,Northline Bank,Cedar Cafe Exchange,0.99,CEDAR CAFE EXCHANGE Lake Landing FL                    05/06,Education,
2021-05-06,2021-05-06,Cash,RIVER CHECKING,4821,Northline Bank,CabKey,22.28,CABKEY Valley Ridge UT                    05/06,Auto & Transport,
2021-05-07,2021-05-07,Cash,RIVER CHECKING,4821,Northline Bank,Zephyr Deli Table,13.26,ZEPHYR DELI TABLE York Heights TX        05/07,Dining & Drinks,
2021-05-07,2021-05-07,Cash,RIVER CHECKING,4821,Northline Bank,PeerPay,-74.16,PEERPAY CASHOUT                    PPD ID: 7610311505,Uncategorized,
2021-05-07,2021-05-07,Cash,RIVER CHECKING,4821,Northline Bank,PeerPay,7.73,PEERPAY PAYMENT    6802522290902   WEB ID: 5316441302,Uncategorized,
2021-05-07,2021-05-07,Cash,RIVER CHECKING,4821,Northline Bank,GoLoop,20.47,GOLOOP TRIP HELP.goloop.com CA                 05/07,Auto & Transport,
2021-05-10,2021-05-10,Cash,RIVER CHECKING,4821,Northline Bank,Zephyr Lounge Grill,48.5,ZEPHYR LOUNGE GRILL Ridge Harbor UT        05/10,Dining & Drinks,
2021-05-10,2021-05-10,Cash,RIVER CHECKING,4821,Northline Bank,Dawn Forge Goods,14.29,DAWN FORGE GOODS Brighton Valley UT                    05/10,Shopping,
2021-05-10,2021-05-10,Cash,RIVER CHECKING,4821,Northline Bank,Velvet Root Club,5.09,VELVET ROOT CLUB Pine Falls UT                    05/10,Entertainment & Rec.,
2021-05-10,2021-05-10,Cash,RIVER CHECKING,4821,Northline Bank,Grove Grid Kitchen,12.67,GROVE GRID KITCHEN Oak Crossing NJ        05/10,Dining & Drinks,
2021-05-10,2021-05-10,Cash,RIVER CHECKING,4821,Northline Bank,Grove Bloom Exchange,0.76,GROVE BLOOM EXCHANGE Harbor Ridge IL                    05/10,Education,
2021-05-10,2021-05-10,Cash,RIVER CHECKING,4821,Northline Bank,Grove Bloom Exchange,1.01,GROVE BLOOM EXCHANGE Zephyr Terrace IL                    05/10,Education,
2021-05-10,2021-05-10,Cash,RIVER CHECKING,4821,Northline Bank,Grove Bloom Exchange,0.99,GROVE BLOOM EXCHANGE Juniper Springs DE                    05/10,Education,
2021-05-10,2021-05-10,Cash,RIVER CHECKING,4821,Northline Bank,PeerPay,9.29,PEERPAY PAYMENT    2310047427015   WEB ID: 1082401735,Uncategorized,
2021-05-10,2021-05-10,Cash,RIVER CHECKING,4821,Northline Bank,Prism Club Kitchen,13.02,PRISM CLUB KITCHEN Cedar Ridge NY        05/10,Dining & Drinks,
2021-05-11,2021-05-11,Cash,RIVER CHECKING,4821,Northline Bank,Lunar Care House,13.01,LUNAR CARE HOUSE Harbor Landing IL        05/11,Dining & Drinks,
2021-05-11,2021-05-11,Cash,RIVER CHECKING,4821,Northline Bank,Copper Supply Cafe,13.48,COPPER SUPPLY CAFE Brighton Junction MA        05/11,Dining & Drinks,
2021-05-11,2021-05-11,Cash,RIVER CHECKING,4821,Northline Bank,RideFox,44.14,RIDEFOX TRIP HELP.ridefox.com CA                 05/11,Auto & Transport,
2021-05-12,2021-05-12,Cash,RIVER CHECKING,4821,Northline Bank,North Deli House,10.69,NORTH DELI HOUSE Pine City TX        05/12,Dining & Drinks,
2021-05-12,2021-05-12,Cash,RIVER CHECKING,4821,Northline Bank,Kestrel Cafe Goods,5.88,KESTREL CAFE GOODS Kings Point NY                    05/12,Shopping,
2021-05-12,2021-05-12,Cash,RIVER CHECKING,4821,Northline Bank,PeerPay,54.14,PEERPAY PAYMENT    2459956014766   WEB ID: 4962101422,Uncategorized,
2021-05-12,2021-05-12,Cash,RIVER CHECKING,4821,Northline Bank,GoLoop,24.74,GOLOOP TRIP HELP.goloop.com CA                 05/12,Auto & Transport,
2021-05-13,2021-05-13,Cash,RIVER CHECKING,4821,Northline Bank,Velvet Trail Studio,7.51,VELVET TRAIL STUDIO Kings Crossing UT                    05/13,Health & Wellness,
2021-05-13,2021-05-13,Cash,RIVER CHECKING,4821,Northline Bank,Velvet Trail Studio,7.81,VELVET TRAIL STUDIO Bayview Falls PA                    05/13,Health & Wellness,
2021-05-13,2021-05-13,Cash,RIVER CHECKING,4821,Northline Bank,Velvet Trail Studio,12.41,VELVET TRAIL STUDIO Westport Park UT                    05/13,Health & Wellness,
2021-05-14,2021-05-14,Cash,RIVER CHECKING,4821,Northline Bank,Grove Lounge Grill,41.87,GROVE LOUNGE GRILL Union Village WA        05/14,Dining & Drinks,
2021-05-17,2021-05-17,Cash,RIVER CHECKING,4821,Northline Bank,Zenith House Cafe,15.57,ZENITH HOUSE CAFE Glen Crossing WA        05/17,Dining & Drinks,
2021-05-17,2021-05-17,Cash,RIVER CHECKING,4821,Northline Bank,Ember Table Group,106.99,EMBER TABLE GROUP Westport Falls CT        05/17,Internal Transfers,
2021-05-17,2021-05-17,Cash,RIVER CHECKING,4821,Northline Bank,Cedar Lounge Bistro,14.33,CEDAR LOUNGE BISTRO Timber Village CT        05/17,Dining & Drinks,
2021-05-17,2021-05-17,Cash,RIVER CHECKING,4821,Northline Bank,Solstice Club Works,3.18,SOLSTICE CLUB WORKS Harbor Terrace FL                    05/17,Shopping,
2021-05-17,2021-05-17,Cash,RIVER CHECKING,4821,Northline Bank,Ivory Corner Co.,0.77,IVORY CORNER CO. Meadow Park WA                    05/17,Education,
2021-05-17,2021-05-17,Cash,RIVER CHECKING,4821,Northline Bank,Ivory Corner Co.,0.77,IVORY CORNER CO. Union Terrace WA                    05/17,Education,
2021-05-17,2021-05-17,Cash,RIVER CHECKING,4821,Northline Bank,Ivory Corner Co.,0.97,IVORY CORNER CO. Dover Heights MA                    05/17,Education,
2021-05-17,2021-05-17,Cash,RIVER CHECKING,4821,Northline Bank,Ivory Corner Co.,0.96,IVORY CORNER CO. Bayview Valley CT                    05/17,Education,
2021-05-17,2021-05-17,Cash,RIVER CHECKING,4821,Northline Bank,Ivory Corner Co.,1.02,IVORY CORNER CO. Juniper Springs TX                    05/17,Education,
2021-05-17,2021-05-17,Cash,RIVER CHECKING,4821,Northline Bank,PeerPay,-38.09,PEERPAY CASHOUT                    PPD ID: 8942355593,Uncategorized,
2021-05-17,2021-05-17,Cash,RIVER CHECKING,4821,Northline Bank,PeerPay,46.58,PEERPAY PAYMENT    4628327440348   WEB ID: 4375042524,Uncategorized,
2021-05-18,2021-05-18,Cash,RIVER CHECKING,4821,Northline Bank,Willow Grill Depot,89.03,WILLOW GRILL DEPOT Coral Junction UT                    05/18,Shopping,
2021-05-18,2021-05-18,Cash,RIVER CHECKING,4821,Northline Bank,Unity Harbor Co.,0.77,UNITY HARBOR CO. Zephyr Bay TX                    05/18,Education,
2021-05-18,2021-05-18,Cash,RIVER CHECKING,4821,Northline Bank,Unity Harbor Co.,1.02,UNITY HARBOR CO. York Park MA                    05/18,Education,
2021-05-18,2021-05-18,Cash,RIVER CHECKING,4821,Northline Bank,Unity Harbor Co.,0.97,UNITY HARBOR CO. Juniper Point PA                    05/18,Education,
2021-05-19,2021-05-19,Cash,RIVER CHECKING,4821,Northline Bank,Meadow Club Depot,10.75,MEADOW CLUB DEPOT Meadow Landing NJ                    05/19,Shopping,
2021-05-19,2021-05-19,Cash,RIVER CHECKING,4821,Northline Bank,Opal Books Routes,37.3,OPAL BOOKS ROUTES Westport Terrace DE        05/19,Travel & Vacation,
2021-05-19,2021-05-19,Cash,RIVER CHECKING,4821,Northline Bank,RideFox,68.55,RIDEFOX TRIP HELP.ridefox.com CA                 05/19,Auto & Transport,
2021-05-19,2021-05-19,Cash,RIVER CHECKING,4821,Northline Bank,PeerPay,6,PEERPAY PAYMENT    9186670925118   WEB ID: 5758226238,Uncategorized,
2021-05-20,2021-05-20,Cash,RIVER CHECKING,4821,Northline Bank,Willow Studio Table,9.11,WILLOW STUDIO TABLE Juniper City PA        05/20,Dining & Drinks,
2021-05-20,2021-05-20,Cash,RIVER CHECKING,4821,Northline Bank,West Bistro Goods,81.99,WEST BISTRO GOODS Bayview Point CT                    05/20,Shopping,
2021-05-20,2021-05-20,Cash,RIVER CHECKING,4821,Northline Bank,North Bistro Goods,98.56,NORTH BISTRO GOODS Dover Crossing UT                    05/20,Shopping,
2021-05-20,2021-05-20,Cash,RIVER CHECKING,4821,Northline Bank,North Bistro Goods,106.45,NORTH BISTRO GOODS Union Falls CT                    05/20,Shopping,
2021-05-20,2021-05-20,Cash,RIVER CHECKING,4821,Northline Bank,North Bistro Goods,98.23,NORTH BISTRO GOODS Summit Terrace TX                    05/20,Shopping,
2021-05-20,2021-05-20,Cash,RIVER CHECKING,4821,Northline Bank,Zenith Commons Supply,114.97,ZENITH COMMONS SUPPLY Summit Village IL                    05/20,Shopping,
2021-05-20,2021-05-20,Cash,RIVER CHECKING,4821,Northline Bank,River Works Pay,2.45,RIVER WORKS PAY 05/20,Fees,
2021-05-20,2021-05-20,Cash,RIVER CHECKING,4821,Northline Bank,River Works Pay,3.09,RIVER WORKS PAY 05/20,Fees,
2021-05-20,2021-05-20,Cash,RIVER CHECKING,4821,Northline Bank,River Works Pay,3.09,RIVER WORKS PAY 05/20,Fees,
2021-05-20,2021-05-20,Cash,RIVER CHECKING,4821,Northline Bank,River Works Pay,3.13,RIVER WORKS PAY 05/20,Fees,
2021-05-20,2021-05-20,Cash,RIVER CHECKING,4821,Northline Bank,River Works Pay,3.65,RIVER WORKS PAY 05/20,Fees,
2021-05-20,2021-05-20,Cash,RIVER CHECKING,4821,Northline Bank,Prism Root Depot,8.82,PRISM ROOT DEPOT Westport Landing DE                    05/20,Shopping,
2021-05-20,2021-05-20,Cash,RIVER CHECKING,4821,Northline Bank,Azure Nest Goods,13.44,AZURE NEST GOODS Harbor Bay TX                    05/20,Shopping,
2021-05-20,2021-05-20,Cash,RIVER CHECKING,4821,Northline Bank,Azure Nest Goods,43.79,AZURE NEST GOODS Pine Point PA                    05/20,Shopping,
2021-05-20,2021-05-20,Cash,RIVER CHECKING,4821,Northline Bank,RideFox,35.58,RIDEFOX TRIP HELP.ridefox.com CA                 05/20,Auto & Transport,
2021-05-21,2021-05-21,Cash,RIVER CHECKING,4821,Northline Bank,TransitPass,2.63,TRANSITPASS Dover Terrace FL                    05/21,Auto & Transport,
2021-05-24,2021-05-24,Cash,RIVER CHECKING,4821,Northline Bank,Copper Byte Supply,258.56,COPPER BYTE SUPPLY Lake Ridge CT                    05/24,Shopping,
2021-05-24,2021-05-24,Cash,RIVER CHECKING,4821,Northline Bank,Opal Lab Billing,7.59,OPAL LAB BILLING 05/24,Fees,
2021-05-24,2021-05-24,Cash,RIVER CHECKING,4821,Northline Bank,Ivory Transit Air,33.51,IVORY TRANSIT AIR Zephyr Village IL        05/24,Travel & Vacation,
2021-05-24,2021-05-24,Cash,RIVER CHECKING,4821,Northline Bank,TrackLink,2.89,TRACKLINK Coral Point CA                    05/24,Auto & Transport,
2021-05-24,2021-05-24,Cash,RIVER CHECKING,4821,Northline Bank,TrackLink,2.71,TRACKLINK Meadow Ridge CT                    05/24,Auto & Transport,
2021-05-24,2021-05-24,Cash,RIVER CHECKING,4821,Northline Bank,TransitPass,2.81,TRANSITPASS Timber Junction IL                    05/24,Auto & Transport,
2021-05-24,2021-05-24,Cash,RIVER CHECKING,4821,Northline Bank,Meadow Grid Table,225.67,MEADOW GRID TABLE Oak Junction MA        05/24,Dining & Drinks,
2021-05-24,2021-05-24,Cash,RIVER CHECKING,4821,Northline Bank,Jade Harbor Goods,6.63,JADE HARBOR GOODS Timber Crossing PA                    05/24,Shopping,
2021-05-24,2021-05-24,Cash,RIVER CHECKING,4821,Northline Bank,CabKey,67.41,CABKEY Glen Springs NY                    05/24,Auto & Transport,
2021-05-25,2021-05-25,Cash,RIVER CHECKING,4821,Northline Bank,GoLoop,73.28,GOLOOP TRIP HELP.goloop.com CA                 05/25,Auto & Transport,
2021-05-26,2021-05-26,Cash,RIVER CHECKING,4821,Northline Bank,PeerPay,22.02,PEERPAY PAYMENT    3253233341273   WEB ID: 3670478169,Uncategorized,
2021-05-26,2021-05-26,Cash,RIVER CHECKING,4821,Northline Bank,SwiftRide,14.97,SWIFTRIDE TRIP HELP.swiftride.com CA                 05/26,Auto & Transport,
2021-05-27,2021-05-27,Cash,RIVER CHECKING,4821,Northline Bank,West Supply Bistro,33.26,WEST SUPPLY BISTRO Westport City TX        05/27,Dining & Drinks,
2021-05-27,2021-05-27,Cash,RIVER SAVINGS,4832,Northline Bank,Online Transfer from BIZ ...7540 transaction#: 15108750568,-2023.97,Online Transfer from SAV ...2204 transaction#: 18301512855,Internal Transfers,
2021-05-27,2021-05-27,Cash,RIVER CHECKING,4821,Northline Bank,Online Transfer to BIZ ...9350 transaction#: 42728441467,2071.81,Online Transfer to CHK ...5255 transaction#: 32590294489,Internal Transfers,
2021-05-28,2021-05-28,Cash,RIVER CHECKING,4821,Northline Bank,Kestrel Works Bistro,20.92,KESTREL WORKS BISTRO Quartz Harbor CT        05/28,Dining & Drinks,
2021-05-28,2021-05-28,Cash,RIVER CHECKING,4821,Northline Bank,Meadow Mart Collective,0.75,MEADOW MART COLLECTIVE Brighton Valley CA                    05/28,Education,
2021-05-28,2021-05-28,Cash,RIVER CHECKING,4821,Northline Bank,Meadow Mart Collective,0.75,MEADOW MART COLLECTIVE York Harbor DE                    05/28,Education,
2021-05-28,2021-05-28,Cash,RIVER CHECKING,4821,Northline Bank,Meadow Mart Collective,1.05,MEADOW MART COLLECTIVE Oak Falls UT                    05/28,Education,
2021-05-28,2021-05-28,Cash,RIVER CHECKING,4821,Northline Bank,Meadow Mart Collective,1,MEADOW MART COLLECTIVE Glen Village WA                    05/28,Education,
2021-05-28,2021-05-28,Cash,RIVER CHECKING,4821,Northline Bank,Meadow Mart Collective,0.98,MEADOW MART COLLECTIVE Oak Junction FL                    05/28,Education,
2021-06-01,2021-06-01,Cash,RIVER CHECKING,4821,Northline Bank,Laurel Canvas Care,67.21,LAUREL CANVAS CARE Fairview Junction UT                    06/01,Health & Wellness,
2021-06-01,2021-06-01,Cash,RIVER CHECKING,4821,Northline Bank,Prism Table Table,14.25,PRISM TABLE TABLE Timber Junction FL        06/01,Dining & Drinks,
2021-06-01,2021-06-01,Cash,RIVER CHECKING,4821,Northline Bank,Maple Corner Works,7.2,MAPLE CORNER WORKS Cedar Point FL                    06/01,Shopping,
2021-06-01,2021-06-01,Cash,RIVER CHECKING,4821,Northline Bank,Solstice Transit Bistro,39.57,SOLSTICE TRANSIT BISTRO Quartz City DE        06/01,Dining & Drinks,
2021-06-01,2021-06-01,Cash,RIVER CHECKING,4821,Northline Bank,GoLoop,62.86,GOLOOP TRIP HELP.goloop.com CA                 06/01,Auto & Transport,
2021-06-02,2021-06-02,Cash,RIVER CHECKING,4821,Northline Bank,Jade Bloom Table,47.58,JADE BLOOM TABLE Pine Springs WA        06/02,Dining & Drinks,
2021-06-02,2021-06-02,Cash,RIVER CHECKING,4821,Northline Bank,Ivory Bloom Bistro,22.52,IVORY BLOOM BISTRO Brighton Falls FL        06/02,Dining & Drinks,
2021-06-03,2021-06-03,Cash,RIVER CHECKING,4821,Northline Bank,RideFox,33.83,RIDEFOX TRIP HELP.ridefox.com CA                 06/03,Auto & Transport,
2021-06-04,2021-06-04,Cash,RIVER CHECKING,4821,Northline Bank,Harbor Kitchen Bistro,75.51,HARBOR KITCHEN BISTRO Ridge Ridge PA        06/04,Dining & Drinks,
2021-06-04,2021-06-04,Cash,RIVER CHECKING,4821,Northline Bank,PeerPay,-33.55,PEERPAY CASHOUT                    PPD ID: 6996209367,Uncategorized,
2021-06-04,2021-06-04,Cash,RIVER CHECKING,4821,Northline Bank,PeerPay,16.95,PEERPAY PAYMENT    4262347199435   WEB ID: 3467021771,Uncategorized,
2021-06-04,2021-06-04,Cash,RIVER CHECKING,4821,Northline Bank,RideFox,-33.51,RIDEFOX TRIP HELP.ridefox.com CA                 06/04,Auto & Transport,
2021-06-07,2021-06-07,Cash,RIVER CHECKING,4821,Northline Bank,Amber Deli Depot,-0.12,AMBER DELI DEPOT Kings Landing FL                    06/07,Shopping,
2021-06-07,2021-06-07,Cash,RIVER CHECKING,4821,Northline Bank,Unity Lounge Air,437.49,UNITY LOUNGE AIR Summit Landing PA        06/07,Travel & Vacation,
2021-06-07,2021-06-07,Cash,RIVER CHECKING,4821,Northline Bank,Solstice Root Air,2.94,SOLSTICE ROOT AIR Meadow Point NY        06/07,Travel & Vacation,
2021-06-07,2021-06-07,Cash,RIVER CHECKING,4821,Northline Bank,Ember Supply Routes,257.21,EMBER SUPPLY ROUTES Summit Falls NY        06/07,Travel & Vacation,
2021-06-07,2021-06-07,Cash,RIVER CHECKING,4821,Northline Bank,Haze Kitchen Exchange,0.77,HAZE KITCHEN EXCHANGE Dover Village PA                    06/07,Education,
2021-06-07,2021-06-07,Cash,RIVER CHECKING,4821,Northline Bank,Haze Kitchen Exchange,0.75,HAZE KITCHEN EXCHANGE Oak Landing WA                    06/07,Education,
2021-06-07,2021-06-07,Cash,RIVER CHECKING,4821,Northline Bank,Haze Kitchen Exchange,0.96,HAZE KITCHEN EXCHANGE Valley Heights PA                    06/07,Education,
2021-06-07,2021-06-07,Cash,RIVER CHECKING,4821,Northline Bank,Haze Kitchen Exchange,1.04,HAZE KITCHEN EXCHANGE Oak Junction FL                    06/07,Education,
2021-06-07,2021-06-07,Cash,RIVER CHECKING,4821,Northline Bank,Haze Kitchen Exchange,1.04,HAZE KITCHEN EXCHANGE Fairview Harbor UT                    06/07,Education,
2021-06-07,2021-06-07,Cash,RIVER CHECKING,4821,Northline Bank,PeerPay,17.67,PEERPAY PAYMENT    9743085449358   WEB ID: 8121969294,Uncategorized,
2021-06-07,2021-06-07,Cash,RIVER CHECKING,4821,Northline Bank,Umber Bloom Cafe,53.77,UMBER BLOOM CAFE York Falls TX        06/07,Dining & Drinks,
